20,-0.172083674044581
24.7798074188418,-0.291508567894791
30.7019427857444,-0.294360804308388
38.0394114807523,-0.374658936548126
47.1304645409561,-0.677610973695291
58.3941917442723,-0.889241772420107
72.3498412900995,-1.49104910863495
89.6407566976218,-2.03069977959121
111.064034392316,-2.98208448128091
137.607269170061,-3.92900233470656
170.494081473342,-5.37056052590001
211.240525248087,-6.60208628424643
261.724976735129,-8.10471324274617
324.274726009868,-9.77951910858664
401.773263066111,-11.5385545357799
497.793204240895,-13.3349708928673
616.760986774879,-15.1720478219897
764.160923786817,-17.0601557619793
946.78802642208,-18.9590658039657
1173.06124806022,-20.9031088194219
1453.41159087193,-22.9266738564815
1800.76296610594,-25.0222205049972
2231.12797535438,-26.8589764311863
2764.3460778036,-29.3978284204814
3424.9981723502,-32.2892196013047
4243.53975603616,-34.5476362317551
5257.70489643875,-37.967896524464
6514.24573994269,-42.0703520495181
8071.08774573953,-42.5916797997005
9999.99999999999,-44.626666329325
